Connector , Pin  FPGA Pin
J2        , 0    ""
J2        , 1    ""
J2        , 2    ""
J2        , 3    ""
J2        , 4    ""
J2        , 5    ""
J2        , 6    ""
J2        , 7    ""
J2        , 8    ""
J2        , 9    ""
J2        , 10   ""
J2        , 11   ""
J2        , 12   ""
J2        , 13   ""
J2        , 14   ""
J2        , 15   ""
J2        , 16   ""
J2        , 17   ""
J2        , 18   ""
J2        , 19   ""
J2        , 20   ""
J2        , 21   ""
J2        , 22   ""
J2        , 23   ""
J2        , 24   ""
J2        , 25   ""
J2        , 26   ""
J2        , 27   ""
J2        , 28   ""
J2        , 29   ""
J2        , 30   ""
J2        , 31   ""
J2        , 32   ""
J2        , 33   ""
J2        , 34   ""
J2        , 35   ""
J2        , 36   ""
J2        , 37   ""
J2        , 38   ""
J2        , 39   ""
J2        , 40   ""
J2        , 41   ""
J2        , 42   ""
J2        , 43   T16
J2        , 44   ""
J2        , 45   R16
J2        , 46   ""
J2        , 47   ""
J2        , 48   ""
J2        , 49   Y4
J2        , 50   AA4
J2        , 51   ""
J2        , 52   ""
J2        , 53   ""
J2        , 54   ""
J2        , 55   ""
J2        , 56   ""
J2        , 57   V13
J2        , 58   T22
J2        , 59   ""
J2        , 60   ""
J2        , 61   U12
J2        , 62   U13
J2        , 63   W15
J2        , 64   AB18
J2        , 65   ""
J2        , 66   ""
J2        , 67   J19
J2        , 68   AA13
J2        , 69   J20
J2        , 70   AB13
J2        , 71   ""
J2        , 72   ""
J2        , 73   H17
J2        , 74   AA14
J2        , 75   G18
J2        , 76   AB14
J2        , 77   ""
J2        , 78   ""
J2        , 79   K18
J2        , 80   W13
J2        , 81   K17
J2        , 82   Y13
J2        , 83   ""
J2        , 84   ""
J2        , 85   M19
J2        , 86   AA15
J2        , 87   M20
J2        , 88   AB15
J2        , 89   ""
J2        , 90   ""
J2        , 91   N21
J2        , 92   AA16
J2        , 93   N22
J2        , 94   AB16
J2        , 95   ""
J2        , 96   ""
J2        , 97   H19
J2        , 98   AA17
J2        , 99   H20
J2        , 100  AB17
J2        , 101  ""
J2        , 102  ""
J2        , 103  M21
J2        , 104  AA20
J2        , 105  M22
J2        , 106  AB20
J2        , 107  ""
J2        , 108  ""
J2        , 109  J21
J2        , 110  Y14
J2        , 111  J22
J2        , 112  Y15
J2        , 113  ""
J2        , 114  ""
J2        , 115  R21
J2        , 116  L21
J2        , 117  R22
J2        , 118  L22
J2        , 119  ""
J2        , 120  ""
J2        , 121  F21
J2        , 122  V14
J2        , 123  F22
J2        , 124  U14
J2        , 125  ""
J2        , 126  ""
J2        , 127  H21
J2        , 128  W17
J2        , 129  H22
J2        , 130  Y17
J2        , 131  ""
J2        , 132  ""
J2        , 133  E21
J2        , 134  P21
J2        , 135  E22
J2        , 136  P22
J2        , 137  ""
J2        , 138  ""
J2        , 139  F19
J2        , 140  U16
J2        , 141  F20
J2        , 142  U17
J2        , 143  ""
J2        , 144  ""
J2        , 145  D21
J2        , 146  T14
J2        , 147  D22
