Connector,Pin,HSMC+ok,FPGA Pin,FPGA Pin Description,I/O Bank,LVDS Term RefDes,Power,Ground,I/O Power,FPGA I/O,LVDS I/O,LVDS I,LVDS O,FPGA Clk Out,FPGA Clk In,JTAG,Comments,Design Net,IO Standard,User Comment
J2,0,DGND,,,,,,true,,,,,,,,,,,,
J2,1,,,,,,,,,,,,,,,,,,,
J2,2,,,,,,,,,,,,,,,,,,,
J2,3,,,,,,,,,,,,,,,,,,,
J2,4,,,,,,,,,,,,,,,,,,,
J2,5,+VDC,,,,,+VDC,,,,,,,,,,,5Vdig,,
J2,6,+VDC,,,,,+VDC,,,,,,,,,,,5Vdig,,
J2,7,,,,,,,,,,,,,,,,,,,
J2,8,,,,,,,,,,,,,,,,,,,
J2,9,,,,,,,,,,,,,,,,,,,
J2,10,,,,,,,,,,,,,,,,,,,
J2,11,+VDC,,,,,+VDC,,,,,,,,,,,5Vdig,,
J2,12,+VDC,,,,,+VDC,,,,,,,,,,,5Vdig,,
J2,13,,,,,,,,,,,,,,,,,,,
J2,14,,,,,,,,,,,,,,,,,,,
J2,15,,,,,,,,,,,,,,,,,,,
J2,16,,,,,,,,,,,,,,,,,,,
J2,17,+VCCIO4,,,,,,,VCCIO,,,,,,,,,,,
J2,18,+Y_HSMC_VCCIO,,,,,,,VCCIO,,,,,,,,,,,
J2,19,,,,,,,,,,,,,,,,,,,
J2,20,,,,,,,,,,,,,,,,,,,
J2,21,,,,,,,,,,,,,,,,,,,
J2,22,,,,,,,,,,,,,,,,,,,
J2,23,+VCCIO5,,,,,,,VCCIO,,,,,,,,,,,
J2,24,Y_HSMC_VS0,,,,,,,,,,,,,,,,,,
J2,25,,,,,,,,,,,,,,,,,,,
J2,26,,,,,,,,,,,,,,,,,,,
J2,27,,,,,,,,,,,,,,,,,,,
J2,28,,,,,,,,,,,,,,,,,,,
J2,29,+VCCIO6,,,,,,,VCCIO,,,,,,,,,,,
J2,30,Y_HSMC_VS1,,,,,,,,,,,,,,,,,,
J2,31,,,,,,,,,,,,,,,,,,,
J2,32,,,,,,,,,,,,,,,,,,,
J2,33,,,,,,,,,,,,,,,,,,,
J2,34,,,,,,,,,,,,,,,,,,,
J2,35,VREF_BANK4,,,,,,,VREF,,,,,,,,,,,
J2,36,Y_HSMC_VS2,,,,,,,,,,,,,,,,,,
J2,37,,,,,,,,,,,,,,,,,,,
J2,38,,,,,,,,,,,,,,,,,,,
J2,39,,,,,,,,,,,,,,,,,,,
J2,40,,,,,,,,,,,,,,,,,,,
J2,41,VREF_BANK5,,,,,,,VREF,,,,,,,,,,,
J2,42,VREF_BANK6,,,,,,,VREF,,,,,,,,,,,
J2,43,PLL4_CLKOUTp,T16,"IO, PLL4_CLKOUTp",4,,,,,true,,,true,true,,,,,,
J2,44,,,,,,,,,,,,,,,,,,,
J2,45,PLL4_CLKOUTn,R16,"IO, PLL4_CLKOUTp",4,,,,,true,,,true,true,,,,,,
J2,46,,,,,,,,,,,,,,,,,,,
J2,47,,,,,,,,,,,,,,,,,,,
J2,48,+2.5VDD,,,,,+2.5v,,,,,,,,,,,,,
J2,49,HSMC_SDA,Y4,B3p,3,,,,,true,,,,,,,,,,
J2,50,HSMC_SCL,AA4,IO,3,,,,,true,,,,,,,,,,
J2,51,JTAG_TCK,,,,,,,,,,,,,,TRUE,,,,
J2,52,JTAG_TMC,,,,,,,,,,,,,,TRUE,,,,
J2,53,,,,,,,,,,,,,,,,,,,
J2,54,,,,,,,,,,,,,,,,,,,
J2,55,JTAG_TDO,,,,,,,,,,,,,,TRUE,,,,
J2,56,JTAG_TDI,,,,,,,,,,,,,,TRUE,,,,
J2,57,CLKOUT0,V13,B31p,4,,,,,true,,,,true,,,,,,
J2,58,CLKIN0,T22,"CLK7,DIFFCLK_3n",5,,,,,true,,,,,true,,,,,
J2,59,CHARGE_DETECT,,,,,,,,,,,,,,,,,,
J2,60,,,,,,,,,,,,,,,,,,,
J2,61,D0,U12,B28p,4,,,,,true,,,,,,,,LED1,2.5 V,
J2,62,D1,U13,B32p,4,,,,,true,,,,,,,,UIO_1,2.5 V,
J2,63,D2,W15,B35p,4,,,,,true,,,,,,,,LED0,2.5 V,
J2,64,D3,AB18,IO,4,,,,,true,,,,,,,,UIO_2,2.5 V,
J2,65,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,66,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,67,D4 / LVDS_TXp0,J19,R10p,6,,,,,true,true,,,,,,,APC_RBI,2.5 V,
J2,68,D5 / LVDS_RXp0,AA13,B23p,4,R71,,,,true,true,,,,,,,ADC1_CSB,2.5 V,
J2,69,D6 / LVDS_TXn0,J20,R10n,6,,,,,true,true,,,,,,,APC_CS,2.5 V,
J2,70,D7 / LVDS_RXn0,AB13,B23n,4,R71,,,,true,true,,,,,,,ADC2_CSB,2.5 V,
J2,71,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,72,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,73,D8 / LVDS_TXp1,H17,R5p,6,,,,,true,true,,,,,,,APC_R12,2.5 V,
J2,74,D9 / LVDS_RXp1,AA14,B25p,4,R72,,,,true,true,,,,,,,ADC3_CSB,2.5 V,
J2,75,D10 / LVDS_TXn1,G18,R5n,6,,,,,true,true,,,,,,,APC_SR,2.5 V,
J2,76,D11 / LVDS_RXn1,AB14,B25n,4,R72,,,,true,true,,,,,,,ADC4_CSB,2.5 V,
J2,77,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,78,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,79,D12 / LVDS_TXp2,K18,R13p,6,,,,,true,true,,,,,,,APC_IS2,2.5 V,
J2,80,D13 / LVDS_RXp2,W13,B26p,4,R73,,,,true,true,,,,,,,ADC5_CSB,2.5 V,
J2,81,D14 / LVDS_TXn2,K17,R13n,6,,,,,true,true,,,,,,,APC_IS1,,
J2,82,D15 / LVDS_RXn2,Y13,B26n,4,R73,,,,true,true,,,,,,,ADC6_CSB,2.5 V,
J2,83,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,84,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,85,D16 / LVDS_TXp3,M19,R18p,5,,,,,true,true,,,,,,,APC_Reset,,
J2,86,D17 / LVDS_RXp3,AA15,B27p,4,R74,,,,true,true,,,,,,,ADC7_CSB,2.5 V,
J2,87,D18 / LVDS_TXn3,M20,R18n,5,,,,,true,true,,,,,,,EXT_TRG,,
J2,88,D19 / LVDS_RXn3,AB15,B27n,4,R74,,,,true,true,,,,,,,ADC8_CSB,2.5 V,
J2,89,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,90,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,91,D20 / LVDS_TXp4,N21,R20p,5,,,,,true,true,,,,,,,SUPDAC_CSB,2.5 V,
J2,92,D21 / LVDS_RXp4,AA16,B30p,4,R75,,,,true,true,,,,,,,SPI_SCLK,2.5 V,
J2,93,D22 / LVDS_TXn4,N22,R20n,5,,,,,true,true,,,,,,,RNGDAC_CSB,2.5 V,
J2,94,D23 / LVDS_RXn4,AB16,B30n,4,R75,,,,true,true,,,,,,,SPI_SDIO,2.5 V,
J2,95,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,96,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,97,D24 / LVDS_TXp5,H19,R9p,6,,,,,true,true,,,,,,,5D+D,LVDS,
J2,98,D25 / LVDS_RXp5,AA17,B37p,4,R76,,,,true,true,,,,,,,8DCO+,LVDS,
J2,99,D26 / LVDS_TXn5,H20,R9n,6,,,,,true,true,,,,,,,5D-D,LVDS,
J2,100,D27 / LVDS_RXn5,AB17,B37n,4,R76,,,,true,true,,,,,,,8DCO-,LVDS,
J2,101,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,102,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,103,D28 / LVDS_TXp6,M21,R19p,5,,,,,true,true,,,,,,,5D+C,LVDS,
J2,104,D29 / LVDS_RXp6,AA20,B39p,4,R77,,,,true,true,,,,,,,8FCO+,LVDS,
J2,105,D30 / LVDS_TXn6,M22,R19n,5,,,,,true,true,,,,,,,5D-C,LVDS,
J2,106,D31 / LVDS_RXn6,AB20,B39n,4,R77,,,,true,true,,,,,,,8FCO-,LVDS,
J2,107,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,108,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,109,D32 / LVDS_TXp7,J21,R15p,6,,,,,true,true,,,,,,,5D+B,LVDS,
J2,110,D33 / LVDS_RXp7,Y14,B29p,4,R78,,,,true,true,,,,,,,8D+A,LVDS,
J2,111,D34 / LVDS_TXn7,J22,R15n,6,,,,,true,true,,,,,,,5D-B,LVDS,
J2,112,D35 / LVDS_RXn7,Y15,B29n,4,R78,,,,true,true,,,,,,,8D-A,LVDS,
J2,113,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,114,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,115,D36 / CLKOUT1p,R21,R24p,5,,,,,true,true,,,,,,,RJ45_LED_LATCH,2.5 V,
J2,116,D37 / CLKIN1p,L21,R17p,6,R88,,,,true,,true,,,,,"See UM for CLKIN jumper selection. Move R103 to R101 for FPGA pin G21 (CLK4, DIFFCLK_2p) in Bank 6.",RJ45_LED_CLK,2.5 V,
J2,117,D38 / CLKOUT1n,R22,R24n,5,,,,,true,true,,,,,,,RJ45_LED_BLANK,2.5 V,
J2,118,D39 / CLKIN1n,L22,R17n,6,R88,,,,true,,true,,,,,"See UM for CLKIN jumper selection. Move R105 to R107 for FPGA pin G22 (CLK5, DIFFCLK_2n) in Bank 6.",RJ45_LED_SDA,2.5 V,
J2,119,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,120,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,121,D40 / LVDS_TXp8,F21,R11p,6,,,,,true,true,,,,,,,5D+A,LVDS,
J2,122,D41 / LVDS_RXp8,V14,B33p,4,R79,,,,true,true,,,,,,,8D+B,LVDS,
J2,123,D42 / LVDS_TXn8,F22,R11n,6,,,,,true,true,,,,,,,5D-A,LVDS,
J2,124,D43 / LVDS_RXn8,U14,B33n,4,R79,,,,true,true,,,,,,,8D-B,LVDS,
J2,125,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,126,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,127,D44 / LVDS_TXp9,H21,R14p,6,,,,,true,true,,,,,,,5FCO+,LVDS,
J2,128,D45 / LVDS_RXp9,W17,B38p,4,R80,,,,true,true,,,,,,,8D+C,LVDS,
J2,129,D46 / LVDS_TXn9,H22,R14n,6,,,,,true,true,,,,,,,5FCO-,LVDS,
J2,130,D47 / LVDS_RXn9,Y17,B38n,4,R80,,,,true,true,,,,,,,8D-C,LVDS,
J2,131,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,132,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,133,D48 / LVDS_TXp10,E21,R8p,6,,,,,true,true,,,,,,,5DCO+,LVDS,
J2,134,D49 / LVDS_RXp10,P21,R23p,5,R81,,,,true,true,,,,,,,8D+D,LVDS,
J2,135,D50 / LVDS_TXn10,E22,R8n,6,,,,,true,true,,,,,,,5DCO-,LVDS,
J2,136,D51 / LVDS_RXn10,P22,R23n,5,R81,,,,true,true,,,,,,,8D-D,LVDS,
J2,137,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,138,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,139,D52 / LVDS_TXp11,F19,R6p,6,,,,,true,true,,,,,,,6D+D,LVDS,
J2,140,D53 / LVDS_RXp11,U16,B40p,4,R82,,,,true,true,,,,,,,7DCO+,LVDS,
J2,141,D54 / LVDS_TXn11,F20,R6n,6,,,,,true,true,,,,,,,6D-D,LVDS,
J2,142,D55 / LVDS_RXn11,U17,B40n,4,R82,,,,true,true,,,,,,,7DCO-,LVDS,
J2,143,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,144,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,145,D56 / LVDS_TXp12,D21,R7p,6,,,,,true,true,,,,,,,6D+C,LVDS,
J2,146,D57 / LVDS_RXp12,T14,B36p,4,R83,,,,true,true,,,,,,,7FCO+,LVDS,
J2,147,D58 / LVDS_TXn12,D22,R7n,6,,,,,true,true,,,,,,,6D-C,LVDS,
J2,148,D59 / LVDS_RXn12,T15,B36n,4,R83,,,,true,true,,,,,,,7FCO-,LVDS,
J2,149,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,150,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,151,D60 / LVDS_TXp13,C21,R4p,6,,,,,true,true,,,,,,,6D+B,LVDS,
J2,152,D61 / LVDS_RXp13,N19,R22p,5,R84,,,,true,true,,,,,,,7D+A,LVDS,
J2,153,D62 / LVDS_TXn13,C22,R4n,6,,,,,true,true,,,,,,,6D-B,LVDS,
J2,154,D63 / LVDS_RXn13,N20,R22n,5,R84,,,,true,true,,,,,,,7D-A,LVDS,
J2,155,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,156,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,157,D64 / LVDS_TXp14,B21,R3p,6,,,,,true,true,,,,,,,6D+A,LVDS,
J2,158,D65 / LVDS_RXp14,N18,R21p,5,R85,,,,true,true,,,,,,,7D+B,LVDS,
J2,159,D66 / LVDS_TXn14,B22,R3n,6,,,,,true,true,,,,,,,6D-A,LVDS,
J2,160,D67 / LVDS_RXn14,N17,R21n,5,R85,,,,true,true,,,,,,,7D-B,LVDS,
J2,161,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,162,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,163,D68 / LVDS_TXp15,D20,R2p,6,,,,,true,true,,,,,,,6FCO+,LVDS,
J2,164,D69 / LVDS_RXp15,R14,B41p,4,R86,,,,true,true,,,,,,,7D+C,LVDS,
J2,165,D70 / LVDS_TXn15,C20,R2n,6,,,,,true,true,,,,,,,6FCO-,LVDS,
J2,166,D71 / LVDS_RXn15,R15,B41n,4,R86,,,,true,true,,,,,,,7D-C,LVDS,
J2,167,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,168,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,169,D72 / LVDS_TXp16,G17,R1p,6,,,,,true,true,,,,,,,6DCO+,LVDS,
J2,170,D73 / LVDS_RXp16,U15,B34p,4,R87,,,,true,true,,,,,,,7D+D,LVDS,
J2,171,D74 / LVDS_TXn16,F17,R1n,6,,,,,true,true,,,,,,,6DCO-,LVDS,
J2,172,D75 / LVDS_RXn16,V15,B34n,4,R87,,,,true,true,,,,,,,7D-D,LVDS,
J2,173,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,174,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J2,175,D76 / CLKOUT2p,K21,R16p,6,,,,,true,true,,,,,,,,,
J2,176,D77 / CLKIN2p,J18,R12n,6,R89,,,,true,,true,,,,,"See UM for CLKIN jumper selection. Move R111 to R109 for FPGA pin AA12 (CLK13, DIFFCLK_7p) in Bank 4. See PCB revision notes in UM.",,,
